tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.32404	4.117754495702684		TIMEOUT	30000	30000	
jair-sat_box-pushing-2fsc.yml	sat	true	true	476.6262	477.4518718663603		TIMEOUT	30000	30000	
jair-sat_dpm.yml	sat	true	true	51.073599	51.87317077443004		TIMEOUT	30000	30000	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.611299	1.3802926614880562		TIMEOUT	30000	30000	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.476524	14.288936799392104		TIMEOUT	30000	30000	
jair-sat_grid.yml	sat	true	true	0.667371	1.4160034488886595		true	1051.078947	1051.9909678092226	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.650278	4.400707034394145		TIMEOUT	30000	30000	
jair-sat_grid3x3-2fsc.yml	sat	true	true	29.303358	30.113890488632023		TIMEOUT	30000	30000	
jair-sat_herman.yml	sat	true	true	43.179244	43.92955149244517		TIMEOUT	30000	30000	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.625245	1.387237448245287		TIMEOUT	30000	30000	
jair-sat_pole-res.yml	sat	true	true	0.730661	1.529471006244421		TIMEOUT	30000	30000	
jair-sat_pole.yml	sat	true	true	1.590326	2.3557077581062913		TIMEOUT	30000	30000	
jair-sat_recycling-2fsc.yml	sat	true	true	0.545412	1.2945746574550867		TIMEOUT	30000	30000	
jair-sat_recycling-3fsc.yml	sat	true	true	0.585101	1.3670344585552812		TIMEOUT	30000	30000	
jair-sat_refuel-06-res.yml	sat	true	true	1.494735	2.2298027649521828		TIMEOUT	30000	30000	
jair-sat_tiny_rewards.yml	sat	true	true	0.514343	1.3099362077191472		true	0.441828	1.2202292522415519	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.589039	1.438708026893437		false	30000	30000	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.463257	1.260676878504455		true	1.298016	2.018528330139816	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.485532	1.2290695002302527		true	0.521195	1.1973293013870716	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.133948	7.893274796195328		TIMEOUT	30000	30000	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.548736	1.2902667233720422		true	27.661802	28.356060777790844	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.836104	7.5797139862552285		TIMEOUT	30000	30000	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.452159	0.7197050750255585		false	30000	30000	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.462401	0.7800402482971549		true	0.67126	0.8868944486603141	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.481696	0.7942538363859057		true	238.927355	239.11296406853944	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.539317	0.8688143491744995		TIMEOUT	30000	30000	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	4.536985	4.862026843242347		true	99.013751	99.22266206517816	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	16.027927	16.365523986518383		TIMEOUT	30000	30000	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	10.705207	11.012232230976224		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.76683	1.0479490784928203		true	11.891959	12.083750787191093	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.459756	0.7135171657428145		true	0.710167	0.9024883266538382	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.19109	1.413619683124125		TIMEOUT	30000	30000	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.956239	1.1534018702805042		TIMEOUT	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.887413	1.1233626892790198		true	306.544746	306.87394004687667	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.448169	0.7218700591474771		true	5.649644	6.15570283960551	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.495389	0.7319451496005058		TIMEOUT	30000	30000	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	5.125685	5.329756069928408		TIMEOUT	30000	30000	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	224.053846	224.25935628265142		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	12.848013	13.015086986124516		true	249.965072	250.54048328008503	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.47112	0.6825025454163551		true	2.363617	2.908104277215898	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	190.900996	191.15513732284307		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.807467	7.0120629966259		TIMEOUT	30000	30000	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	1.000417	1.1946902852505445		TIMEOUT	30000	30000	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	65.763994	65.94367290474474		TIMEOUT	30000	30000	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	0.756489	0.9743976881727576		true	113.444865	113.90540630184114	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.03246	3.199865898117423		TIMEOUT	30000	30000	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1132.381809	1132.6363026173785		TIMEOUT	30000	30000	
jair-unsat_dpm.yml	unsat	false	false	54.782477	55.04543851874769		TIMEOUT	30000	30000	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	5.422308	5.659678135998547		TIMEOUT	30000	30000	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	30.38126	30.560960264876485		TIMEOUT	30000	30000	
jair-unsat_grid.yml	unsat	false	false	2.251181	2.460443758405745		false	1177.939807	1178.1522135892883	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.707286	1.9250034857541323		TIMEOUT	30000	30000	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	829.711663	829.9362265495583		TIMEOUT	30000	30000	
jair-unsat_herman.yml	unsat	false	false	160.456789	160.6757880412042		TIMEOUT	30000	30000	
jair-unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-unsat_maze.yml	unsat	false	false	1.074279	1.254331462085247		TIMEOUT	30000	30000	
jair-unsat_pole-res.yml	unsat	false	false	1.056701	1.2517504747956991		TIMEOUT	30000	30000	
jair-unsat_pole.yml	unsat	false	false	2.886209	3.056433180347085		TIMEOUT	30000	30000	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.640884	0.8221830567345023		TIMEOUT	30000	30000	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.432573	3.677069131284952		TIMEOUT	30000	30000	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.886029	1.0590698197484016		TIMEOUT	30000	30000	
jair-unsat_tiny_rewards.yml	unsat	false	false	0.422369	0.6209073746576905		false	0.367469	0.5400440599769354	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.3343	1.4994600275531411		false	1602.964187	1603.168738317676	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.425551	0.6437377287074924		false	71.288273	71.53497280273587	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml	unsat	false	false	0.543176	0.7655793000012636		false	0.540565	0.8155795568600297	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	0.872069	1.0733043644577265		false	818.063542	818.3544602598995	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	10.88292	11.087221784517169		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.421813	0.6026575760915875		false	0.742336	1.042430049739778	
pomdps-unsat_mem_1_nrp-8_1.yml	unsat	false	false	0.422523	0.6118512246757746		false	0.785411	1.0803884528577328	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.436105	0.608039946295321		false	856.070144	856.3342276019976	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.280074	1.4865438202396035		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_refuel-06_1.yml	unsat	false	false	3.59281	3.7842797599732876		false	268.277217	268.50320176407695	
pomdps-unsat_mem_1_refuel-20_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	15.701096	15.885101885534823		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	7.230723	7.439096597954631		false	132.283089	132.50218636821955	
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml	unsat	false	false	0.609196	0.8158072736114264		false	0.916672	1.1121400045230985	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.45627	5.665827754884958		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	10.326415	10.570779653266072		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	0.965753	1.1920118546113372		false	996.78404	997.0222763512284	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	326.34818	326.5352419670671		false	108.399583	108.57335018832237	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.603564	1.8182824030518532		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	227.630763	227.81756758969277		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_refuel-06_2.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	659.188408	659.3930694172159		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	265.076315	265.2979590119794		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml	unsat	false	false	1.299288	1.4996722685173154		false	19.303438	19.483756309375167	
pomdps-unsat_mem_3_maze-alex_3.yml	unsat	false	false	0.589076	0.7842900669202209		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	351.304988	351.52685149013996		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	154.768487	154.94456358253956		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	184.434928	184.64630834013224		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_refuel-06_3.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml	unsat	false	false	5.427673	5.676714922301471		false	1420.895668	1421.1273653088138	
