tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.32404	4.117754495702684		unknown	30000	30000	
jair-sat_box-pushing-2fsc.yml	sat	true	true	476.6262	477.4518718663603		unknown	30000	30000	
jair-sat_dpm.yml	sat	true	true	51.073599	51.87317077443004		true	49.404979	50.16603718698025	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.611299	1.3802926614880562		true	0.675516	1.4449302852153778	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.476524	14.288936799392104		true	40.449103	41.20548199955374	
jair-sat_grid.yml	sat	true	true	0.667371	1.4160034488886595		true	0.7672	1.4905108427628875	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.650278	4.400707034394145		unknown	30000	30000	
jair-sat_grid3x3-2fsc.yml	sat	true	true	29.303358	30.113890488632023		unknown	30000	30000	
jair-sat_herman.yml	sat	true	true	43.179244	43.92955149244517		true	50.90968	51.63679893407971	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.625245	1.387237448245287		true	14.864571	15.562820599414408	
jair-sat_pole-res.yml	sat	true	true	0.730661	1.529471006244421		unknown	30000	30000	
jair-sat_pole.yml	sat	true	true	1.590326	2.3557077581062913		unknown	30000	30000	
jair-sat_recycling-2fsc.yml	sat	true	true	0.545412	1.2945746574550867		unknown	30000	30000	
jair-sat_recycling-3fsc.yml	sat	true	true	0.585101	1.3670344585552812		unknown	30000	30000	
jair-sat_refuel-06-res.yml	sat	true	true	1.494735	2.2298027649521828		TIMEOUT	30000	30000	
jair-sat_tiny_rewards.yml	sat	true	true	0.514343	1.3099362077191472		unknown	30000	30000	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.589039	1.438708026893437		unknown	30000	30000	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.463257	1.260676878504455		unknown	30000	30000	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.485532	1.2290695002302527		true	0.403205	1.020805955864489	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.133948	7.893274796195328		unknown	30000	30000	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.548736	1.2902667233720422		true	1.059474	1.6554932342842221	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.836104	7.5797139862552285		unknown	30000	30000	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.452159	0.7197050750255585		unknown	30000	30000	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.462401	0.7800402482971549		true	0.393722	0.6348115028813481	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.481696	0.7942538363859057		unknown	30000	30000	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.539317	0.8688143491744995		unknown	30000	30000	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	4.536985	4.862026843242347		true	347.522925	347.7761548580602	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	16.027927	16.365523986518383		true	7.765071	7.976834996603429	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	10.705207	11.012232230976224		unknown	30000	30000	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.76683	1.0479490784928203		unknown	30000	30000	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.459756	0.7135171657428145		true	0.419993	0.6565767033025622	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.19109	1.413619683124125		true	262.145929	262.30861646775156	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.956239	1.1534018702805042		unknown	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.887413	1.1233626892790198		unknown	30000	30000	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.448169	0.7218700591474771		true	0.477609	0.6430442510172725	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.495389	0.7319451496005058		unknown	30000	30000	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	5.125685	5.329756069928408		unknown	30000	30000	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	224.053846	224.25935628265142		unknown	30000	30000	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	12.848013	13.015086986124516		unknown	30000	30000	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.47112	0.6825025454163551		true	0.42506	0.6034690281376243	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	190.900996	191.15513732284307		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.807467	7.0120629966259		unknown	30000	30000	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	1.000417	1.1946902852505445		unknown	30000	30000	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	65.763994	65.94367290474474		unknown	30000	30000	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		unknown	30000	30000	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	0.756489	0.9743976881727576		true	0.775331	0.9190119858831167	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.03246	3.199865898117423		unknown	30000	30000	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1132.381809	1132.6363026173785		unknown	30000	30000	
jair-unsat_dpm.yml	unsat	false	false	54.782477	55.04543851874769		unknown	30000	30000	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	5.422308	5.659678135998547		false	20.966943	21.113538802601397	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	30.38126	30.560960264876485		TIMEOUT	30000	30000	
jair-unsat_grid.yml	unsat	false	false	2.251181	2.460443758405745		false	0.711228	0.8939950410276651	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.707286	1.9250034857541323		unknown	30000	30000	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	829.711663	829.9362265495583		unknown	30000	30000	
jair-unsat_herman.yml	unsat	false	false	160.456789	160.6757880412042		TIMEOUT	30000	30000	
jair-unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-unsat_maze.yml	unsat	false	false	1.074279	1.254331462085247		TIMEOUT	30000	30000	
jair-unsat_pole-res.yml	unsat	false	false	1.056701	1.2517504747956991		unknown	30000	30000	
jair-unsat_pole.yml	unsat	false	false	2.886209	3.056433180347085		unknown	30000	30000	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.640884	0.8221830567345023		unknown	30000	30000	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.432573	3.677069131284952		unknown	30000	30000	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.886029	1.0590698197484016		TIMEOUT	30000	30000	
