tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.454465	4.227404857985675		unknown	30000	30000	
jair-sat_box-pushing-2fsc.yml	sat	true	true	510.156381	510.96891645155847		unknown	30000	30000	
jair-sat_dpm.yml	sat	true	true	48.039099	48.8840210698545		OUT OF MEMORY	30000	30000	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.654711	1.4973631612956524		TIMEOUT	30000	30000	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	14.000717	14.850814525038004		TIMEOUT	30000	30000	
jair-sat_grid.yml	sat	true	true	0.615125	1.4344395697116852		true	3.605695	4.33659889921546	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.551524	4.341164290904999		unknown	30000	30000	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.819231	28.596661125309765		unknown	30000	30000	
jair-sat_herman.yml	sat	true	true	39.363094	40.13509365264326		true	1238.871718	1239.6387999765575	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.560767	1.3483715457841754		TIMEOUT	30000	30000	
jair-sat_pole-res.yml	sat	true	true	0.662488	1.3988099405542016		unknown	30000	30000	
jair-sat_pole.yml	sat	true	true	1.721409	2.444889518432319		unknown	30000	30000	
jair-sat_recycling-2fsc.yml	sat	true	true	0.510657	1.1231040470302105		unknown	30000	30000	
jair-sat_recycling-3fsc.yml	sat	true	true	0.61126	1.3210388850420713		unknown	30000	30000	
jair-sat_refuel-06-res.yml	sat	true	true	1.427416	2.0373146580532193		true	0.714566	1.3725292617455125	
jair-sat_tiny_rewards.yml	sat	true	true	0.453538	1.0666582938283682		unknown	30000	30000	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.603922	1.2819854952394962		unknown	30000	30000	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.507049	1.143858302384615		unknown	30000	30000	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.429939	1.0888049760833383		true	0.447224	1.044239585287869	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.762243	8.380443188361824		unknown	30000	30000	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.553468	1.1623229701071978		TIMEOUT	30000	30000	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.74133	7.338680190034211		unknown	30000	30000	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.417035	0.6912125525996089		unknown	30000	30000	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.523746	0.8436891306191683		true	0.502392	0.7918702624738216	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.460029	0.7361832521855831		unknown	30000	30000	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.521398	0.8023920068517327		unknown	30000	30000	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	4.865041	5.149988950230181		true	0.931834	1.2261610245332122	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	14.568597	14.857841182500124		TIMEOUT	30000	30000	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	12.427801	12.690094390884042		unknown	30000	30000	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.747589	1.0228373631834984		unknown	30000	30000	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.438257	0.7185788778588176		true	0.419416	0.5755392257124186	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.241778	1.4692400684580207		TIMEOUT	30000	30000	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	1.067848	1.2856872957199812		unknown	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.887942	1.11060228664428		unknown	30000	30000	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.471646	0.6876435903832316		TIMEOUT	30000	30000	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.513036	0.7328414488583803		unknown	30000	30000	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	5.371355	5.61156826838851		unknown	30000	30000	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	214.80237	215.01728596817702		unknown	30000	30000	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	12.815868	13.01763781066984		unknown	30000	30000	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.610384	0.8269653460010886		true	0.656605	0.7875094078481197	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	188.600186	188.79696081578732		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.2779	6.479044751264155		unknown	30000	30000	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	1.046486	1.275445880368352		unknown	30000	30000	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	63.908456	64.09763162676245		unknown	30000	30000	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		unknown	30000	30000	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	1.004787	1.1818287465721369		true	4.791743	4.927187732420862	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.705593	3.9041066775098443		unknown	30000	30000	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1130.533831	1130.7965791104361		unknown	30000	30000	
jair-unsat_dpm.yml	unsat	false	false	51.794783	52.08083114773035		unknown	30000	30000	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	5.328542	5.532220865599811		TIMEOUT	30000	30000	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	30.964035	31.16285013779998		false	117.705489	117.84462068229914	
jair-unsat_grid.yml	unsat	false	false	2.216235	2.3909588176757097		false	1.635522	1.7627570759505033	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.497781	1.7247730679810047		unknown	30000	30000	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	826.875019	827.1167609496042		unknown	30000	30000	
jair-unsat_herman.yml	unsat	false	false	173.12663	173.344814077951		false	54.296159	54.44162836391479	
jair-unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-unsat_maze.yml	unsat	false	false	1.732619	1.9216268751770258		TIMEOUT	30000	30000	
jair-unsat_pole-res.yml	unsat	false	false	0.711631	0.9034907072782516		unknown	30000	30000	
jair-unsat_pole.yml	unsat	false	false	3.023032	3.218908915296197		unknown	30000	30000	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.817062	1.0393583811819553		unknown	30000	30000	
jair-unsat_recycling-3fsc.yml	unsat	false	false	4.031535	4.243461269885302		unknown	30000	30000	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.665148	0.8320060921832919		false	0.688722	0.8276524068787694	
jair-unsat_tiny_rewards.yml	unsat	false	false	0.446282	0.6376844113692641		unknown	30000	30000	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.222689	1.4761428125202656		unknown	30000	30000	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.549468	0.7372977025806904		unknown	30000	30000	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	30000	30000		false	1.88585	2.0041845366358757	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	30000	30000		false	0.574656	0.7239664467051625	
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml	unsat	false	false	0.53764	0.7375218663364649		false	0.412658	0.5254455925896764	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	30000	30000		unknown	30000	30000	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	1.283521	1.4767894204705954		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	10.516751	10.755898140370846		unknown	30000	30000	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.609313	0.8096793591976166		unknown	30000	30000	
pomdps-unsat_mem_1_nrp-8_1.yml	unsat	false	false	0.590459	0.7879446856677532		false	0.370293	0.5201759533956647	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.507298	0.7217226438224316		unknown	30000	30000	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.177222	1.3538053473457694		unknown	30000	30000	
pomdps-unsat_mem_1_refuel-06_1.yml	unsat	false	false	4.597794	4.793709992431104		false	0.715665	0.8591338731348515	
pomdps-unsat_mem_1_refuel-20_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	30000	30000		false	426.009889	426.19033180270344	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	18.860034	19.060166825540364		unknown	30000	30000	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	7.239543	7.436779543757439		unknown	30000	30000	
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml	unsat	false	false	0.658186	0.8622808493673801		false	0.408907	0.5258905375376344	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	8.811427	9.005520731210709		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	14.345955	14.556005475111306		unknown	30000	30000	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	1.427468	1.6243026060983539		unknown	30000	30000	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	326.190827	326.362990536727		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.348231	1.507005420513451		unknown	30000	30000	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	223.394621	223.60447579156607		unknown	30000	30000	
pomdps-unsat_mem_2_refuel-06_2.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	661.011599	661.2692557852715		unknown	30000	30000	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	309.111939	309.3227446228266		unknown	30000	30000	
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml	unsat	false	false	0.947225	1.1328160129487514		false	0.53072	0.6552730901166797	
pomdps-unsat_mem_3_maze-alex_3.yml	unsat	false	false	0.396292	0.6162799028679729		false	0.39831	0.511522046290338	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	277.30274	277.529646769166		unknown	30000	30000	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	153.551473	153.74810936115682		unknown	30000	30000	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	239.284313	239.4986302535981		unknown	30000	30000	
pomdps-unsat_mem_3_refuel-06_3.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	30000	30000		unknown	30000	30000	
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml	unsat	false	false	7.50315	7.726726688444614		false	4.703894	4.859608452767134	
